"LCSC Part Number","Manufacture Part Number","Manufacturer","Customer NO.","Package","Description","RoHS","Order Qty.","Min\Mult Order Qty.","Unit Price","Order Price"
"C1017","GZ2012D601TF","Sunlord","FB3,FB2,FB1","0805","500mA 1 300mΩ 600Ω@100MHz ±25% 0805 Ferrite Beads ROHS","YES","50","50\50","$0.019200","$0.96"
"C1603","CL10B221KB8NNNC","Samsung Electro-Mechanics","C17,C12","0603","50V 220pF X7R ±10% 0603 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS","YES","50","50\50","$0.006400","$0.32"
"C1604","0603B222K500NT","FH(Guangdong Fenghua Advanced Tech)","C4,C3","0603","50V 2.2nF X7R ±10% 0603 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS","YES","100","100\100","$0.003000","$0.30"
"C1634","CL10C100JB8NNNC","Samsung Electro-Mechanics","C10","0603","50V 10pF C0G ±5% 0603 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS","YES","50","50\50","$0.005700","$0.29"
"C1691","CL10A106MQ8NNNC","Samsung Electro-Mechanics","C15","0603","6.3V 10uF X5R ±20% 0603 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS","YES","50","50\50","$0.006600","$0.33"
"C6568","CP2102-GMR","SILICON LABS","U7","QFN-28_5x5x05P","Transceiver 1Mbps USB 1/1 QFN-28_5x5x05P USB ICs ROHS","YES","2","1\1","$3.649900","$7.30"
"C8678","SS34","MDD（Microdiode Electronics）","D3","SMA(DO-214AC)","40V 550mV@3A 3A SMA(DO-214AC) Schottky Barrier Diodes (SBD) ROHS","YES","10","10\10","$0.047600","$0.48"
"C14663","CC0603KRX7R9BB104","YAGEO","C37,30,28-25,19,14,11,8,2","0603","50V 100nF X7R ±10% 0603 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS","YES","100","100\100","$0.002800","$0.28"
"C15849","CL10A105KB8NNNC","Samsung Electro-Mechanics","C16,C13","0603","50V 1uF X5R ±10% 0603 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS","YES","50","50\50","$0.006000","$0.30"
"C95841","CL21B106KOQNNNE","Samsung Electro-Mechanics","C36,35,34,31,29,24-20,9,5,1","0805","16V 10uF X7R ±10% 0805 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS","YES","40","20\20","$0.030900","$1.24"
"C16581","TP4056-42-ESOP8","TOPPOWER(Nanjing Extension Microelectronics)","U8","ESOP-8"," ESOP-8 Battery Management ICs ROHS","YES","2","1\1","$0.252000","$0.50"
