LCSC Part Number,Customer Part Number,Footprint,Value,Quantity,,,
C1017,"FB3,FB2,FB1",L_0805_2012Metric,601,3,,,
C1603,"C17,C12",0603_C,220p,2,,,
C1604,"C4,C3",0603_C,2.2n,2,,,
C1634,C10,0603_C,10pF,1,,,
C1691,C15,0603_C,10u,1,,,
C6568,U7,QFN-28-1EP_5x5mm_P0.5mm_EP3.35x3.35mm,CP2102N-A01-GQFN28,1,,,
C8678,D3,D_SMA,SL03,1,,,
C14663,"C37,C30,C28,C27,C26,C25,C19,C14,C11,C8,C2",0603_C,100n,11,,,
C15849,"C16,C13",0603_C,1u,2,,,
C95841,"C36,C35,C34,C31,C29,C24,C23,C22,C21,C20,C9,C5,C1",0805_C,10u,13,,,
C16581,U8,SOIC-8-1EP_3.9x4.9mm_P1.27mm_EP2.41x3.3mm,TP4056-otter,1,,,
C21189,"R35,R20,R19",0603_R,0R,3,,,
C21190,"R55,R54,R53,R17,R13,R7,R2",0603_R,1k,7,,,
C22765,R49,0603_R,1.2k,1,,,
C22775,"R34,R32,R30",0603_R,100,3,,,
C22859,"R31,R14,R4",0603_R,10,3,,,
C2849052,"R18,R8",0603_R,4.7R,2,,,
C22961,R26,0603_R,220k,1,,,
C22978,"R16,R6",0603_R,3.3k,2,,,
C23179,"R22,R11,R10,R3,R1",0603_R,470,6,,,
C23186,"R43,R42",0603_R,5.1k,2,,,
C23345,R51,0603_R,22,1,,,
C23630,"C7,C6",0603_C,2.2u,2,,,
C308471,R46,R_1206_3216Metric,0.27R,1,,,
C25803,"R48,R38,R37,R33,R23",0603_R,100k,5,,,
C25804,"R50,R45,R44,R41,R40,R39",0603_R,10k,7,,,
C18671,R29,0603_R,75k,1,,,
C28060,U6,Texas_DRC0010J_ThermalVias,TPS63001,1,,,
C31850,"R28,R27,R21,R15,R9,R5",0603_R,22k,6,,,
C53987,C18,0603_C,4.7n,1,,,
C54792,U5,Texas_DRC0010J_ThermalVias,TPS63700DRCT,1,,,
C81598,"D4,D2,D1",D_SOD-123,4148,3,,,
C107671,U2,TSSOP-20_4.4x6.5mm_P0.65mm,PCM5102,1,,,
C111113,"Q5,Q6",SOT-23,MMBT3904,2,,,
C112137,U4,SOIC-8_150mil,PAM8302AAD,1,,,
C133359,"Q1,Q3",SOT-223,STN851,2,,,
C133360,"Q2,Q4",SOT-223,STN951,2,,,
C155463,"C33,C32",CP_EIA-7343-43_Kemet-X,100u,2,,,
C265003,"BT1,BT2",JST_PH_B2B-PH-SM4-TB_1x02-1MP_P2.00mm_Vertical,LiIon,2,,,
C165948,J6,USB_C_Receptacle_Palconn_UTC16-G,TYPE-C-31-M-12,1,,,
C520302,L2,Inductor_4040,2.2u,1,,,
C520304,L1,Inductor_4040,4.7u,1,,,
C686637,U9,SOT-23-5,LMV321,1,,,
